id,branch_title,address,status,created_at,updated_at,branch_code
1,Lalitpur Field Office,"Lalitpur 3, Nayabato",active,04/08/2021 05:07,24/11/2021 08:56,LTPR
3,Swoyambhu,"KTM- 15, Swoyambhu",active,27/09/2021 09:39,01/12/2021 02:23,SWMB
4,Maharajgunj,"KTM-4, Chandol",active,27/10/2021 03:55,27/10/2021 03:56,MAHRJ
5,Bhaktapur,"Thimi-5, Radhe-Radhe",active,27/10/2021 03:56,24/11/2021 08:59,BHKTPR
6,Central Secretariat,"Lalitpur-3, Nayabato",active,15/11/2021 04:49,01/12/2021 02:24,CENTRL
7,Chitwan,Lalitpur,active,24/11/2022 13:43,24/11/2022 13:43,BDK
